WantCollege_W1,ExpectCollege_W1,DaysMarijuanaPast12M_W4,Sex_Female,Trouble Paying Attention,ReligiosityIndex_W1,Age_FirstMarijuana,PeerCig_Count,PeerWeed_Count,peer_alcohol_count,Fight_Serious,InjuredSomeone,DroveWithoutPermission,WeaponUse_Threat,SoldDrugs,GroupFight,PublicRowdy,LiedToParents,Age_FirstDrinkNoAdults_rev_Z,DrinkFrequency_Past12mo_Z,DrinksPerOccasion_Past12mo_Z,Age_StartedSmoking_rev_Z,BluesInspiteOfHelp,LessThanOthers,Unhappy,Lonely,UnfriendlyPeople,HardToStart,NotWorthLiving,FriendsRespect_Sex,Rev_FeelGuilty_Sex,Rev_UpsetMother_Sex,SexAttitudes_Index,GPA_Index,ParentalWarmth_Index,ParentalSupervision_Index,BuildingType,BuildingCondition,NeighborhoodType,StreetCondition,BoredImpatient,SuicidalIdeation,SuicideAttempts,SchoolBehavior_Index,SES_Index,NightAway_W1,Moodiness_W1,HangoutFriends_W1,HoursTV_W1,HoursGames_W1,PhysicalFight_W1,Jumped_W1
5.0,5.0,6.0,0,3.0,,18.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,-1.7727770461884855,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,4.0,0.986920651583236,2.0,5.0,0.8571428571428571,,2.0,3.0,2.0,0.0,1.0,0.0,1.0589625183927012,-0.5882088611519412,1.0,4.0,2.0,24.0,7.0,1.0,1.0
3.0,2.0,6.0,0,1.0,0.2707657074775663,13.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.1348518750157323,0.0510854659224902,-0.3445430183927198,0.7231281253522338,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,1.5,5.0,0.4285714285714285,1.0,2.0,2.0,2.0,0.0,0.0,,0.4060305625839137,-1.613701361268436,0.0,1.0,3.0,14.0,3.0,2.0,0.0
5.0,4.0,0.0,0,1.0,-0.1940532933094384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,2.5,5.0,0.5714285714285714,2.0,1.0,2.0,1.0,0.0,0.0,,-0.1593680435502491,0.4271661842788321,0.0,3.0,2.0,35.0,2.0,0.0,0.0
5.0,3.0,2.0,0,1.0,-0.6588722940964432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,0.4157187246963665,2.0,5.0,0.2857142857142857,1.0,4.0,3.0,3.0,0.0,0.0,,0.2107273229011078,0.0917636673672006,0.0,1.0,2.0,10.0,4.0,0.0,0.0
5.0,3.0,1.0,0,3.0,,13.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,,,,0.7231281253522338,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,0.7119352605169278,3.75,5.0,0.0,2.0,2.0,1.0,,0.0,0.0,,1.656573741127622,-0.979866642044668,1.0,2.0,3.0,0.0,0.0,2.0,0.0
5.0,5.0,0.0,0,1.0,-0.1940532933094384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,4.0,5.0,0.2857142857142857,1.0,1.0,2.0,1.0,0.0,0.0,,-0.1706162142843876,0.6259150017260374,0.0,1.0,2.0,10.0,1.0,0.0,0.0
3.0,4.0,3.0,1,0.0,0.8979534969538453,13.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.5238626153348919,-0.6263417077795361,-0.633526678296209,,0.0,2.0,1.0,0.0,0.0,1.0,1.0,,,,,2.75,5.0,0.2857142857142857,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.072152904602553,-1.20448693050752,1.0,1.0,1.0,4.0,0.0,0.0,0.0
4.0,3.0,2.0,0,2.0,0.8979534969538453,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,,,1.0,5.0,0.4285714285714285,1.0,1.0,3.0,4.0,1.0,0.0,,0.2219754936352462,0.3163839558300526,0.0,1.0,2.0,77.0,6.0,2.0,1.0
5.0,4.0,0.0,0,0.0,1.36277249774085,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1348518750157323,-1.303768881481563,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,3.0,0.1118627206909921,2.25,5.0,0.2857142857142857,1.0,3.0,2.0,3.0,0.0,0.0,,-0.407824915197511,-1.6367583827766383,0.0,0.0,0.0,15.0,10.0,0.0,0.0
5.0,4.0,0.0,0,1.0,-0.0316845046201642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.75,5.0,0.7142857142857143,1.0,1.0,3.0,2.0,0.0,0.0,,-0.239903423433665,-0.3051416268994065,0.0,3.0,1.0,8.0,4.0,0.0,0.0
4.0,5.0,0.0,1,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,1.0,4.0,0.4285714285714285,1.0,1.0,6.0,3.0,0.0,0.0,,0.1639364552201073,-0.0334144661715202,0.0,1.0,3.0,26.0,0.0,0.0,2.0
2.0,1.0,0.0,1,2.0,,12.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.4059398133265433,0.3779161313660034,1.1391123206090203,1.0,2.0,2.0,1.0,0.0,1.0,1.0,,,,,1.75,5.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,,1.072963629229306,-0.1910844644273348,0.0,3.0,3.0,49.0,0.0,1.0,0.0
5.0,5.0,1.0,1,2.0,-0.1940532933094384,14.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1348518750157323,1.4059398133265433,-0.0555593584892304,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,4.0,4.75,0.0,1.0,4.0,3.0,2.0,0.0,0.0,,0.0372454131634444,0.0737544421548719,0.0,2.0,2.0,6.0,0.0,0.0,0.0
3.0,4.0,0.0,0,4.0,-0.6588722940964432,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.5238626153348919,0.7285126396245167,0.0889324714625141,0.7231281253522338,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,,,3.25,0.2857142857142857,1.0,1.0,2.0,1.0,0.0,0.0,,2.877008581905568,0.1652658980864512,0.0,3.0,2.0,40.0,8.0,1.0,0.0
5.0,4.0,0.0,1,0.0,0.4331344961668405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,2.75,5.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,,-0.5058040892966359,-1.5536717114400536,0.0,1.0,2.0,28.0,3.0,0.0,0.0
5.0,5.0,5.0,0,3.0,-0.0316845046201642,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0510854659224902,-0.3445430183927198,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,3.5,5.0,0.1428571428571428,1.0,2.0,3.0,2.0,0.0,0.0,,0.4878761594982171,0.0675044251135427,0.0,1.0,1.0,8.0,3.0,1.0,0.0
5.0,3.0,1.0,1,,,15.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2541588653034272,-0.6263417077795361,-0.3445430183927198,-0.5248244604181258,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,,-0.3131050730718371,,,,4.0,2.0,3.0,3.0,0.0,0.0,,0.7181012528658992,,0.0,3.0,2.0,28.0,0.0,0.0,0.0
1.0,1.0,3.0,1,3.0,1.36277249774085,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,1.0,4.5,0.1428571428571428,,3.0,3.0,3.0,1.0,0.0,,0.6957377869460493,0.6332798628836523,0.0,1.0,3.0,7.0,7.0,1.0,0.0
5.0,3.0,0.0,0,1.0,0.8979534969538453,14.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,,-0.6263417077795361,-0.633526678296209,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,2.0,5.0,0.2857142857142857,1.0,1.0,2.0,2.0,1.0,0.0,,-0.1013290051351102,-0.378953540748691,0.0,1.0,3.0,8.0,0.0,2.0,0.0
5.0,5.0,0.0,1,1.0,-0.9836098714749916,15.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,-0.6431696056225867,0.7285126396245167,-0.2000511884409751,-0.5248244604181258,1.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,-0.1959977446845842,4.0,3.75,0.2857142857142857,1.0,1.0,2.0,1.0,0.0,1.0,0.0,-0.6331303368610521,1.0251765273414668,1.0,2.0,0.0,7.0,4.0,0.0,0.0
5.0,5.0,0.0,0,1.0,,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,-1.303768881481563,,,0.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.3663067080362436,2.25,5.0,0.5714285714285714,1.0,3.0,4.0,3.0,0.0,0.0,,0.233858869877138,1.2675611229513315,1.0,0.0,2.0,0.0,21.0,0.0,0.0
5.0,5.0,0.0,0,0.0,-0.5187908706879867,16.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,-0.2541588653034272,0.7285126396245167,0.2334243014142587,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.6831452399037958,3.333333333333333,5.0,0.0,1.0,2.0,1.0,,0.0,0.0,,0.7110491148135416,-1.3911638230311878,0.0,1.0,2.0,16.0,10.0,2.0,1.0
5.0,5.0,0.0,1,3.0,-0.6588722940964432,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1348518750157323,0.7285126396245167,-0.3445430183927198,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,-0.3567472864367508,3.25,4.75,0.1428571428571428,1.0,2.0,2.0,2.0,0.0,0.0,,-0.0320417959858329,0.958961933531821,0.0,3.0,1.0,10.0,0.0,0.0,0.0
4.0,4.0,0.0,0,2.0,0.2707657074775663,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6431696056225867,0.0510854659224902,-0.633526678296209,,1.0,2.0,2.0,0.0,1.0,0.0,2.0,5.0,3.0,2.0,0.4668277089380739,3.25,5.0,0.2857142857142857,1.0,2.0,3.0,3.0,0.0,0.0,,0.112093040286539,-0.2830401881997598,0.0,1.0,2.0,2.0,0.0,0.0,0.0
1.0,3.0,1.0,0,2.0,,17.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,-0.6263417077795361,-0.0555593584892304,0.3071439300954472,1.0,3.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,-0.3839014675307488,1.0,5.0,0.7142857142857143,1.0,4.0,3.0,3.0,1.0,0.0,,0.7006231933967321,-1.3821821961220735,1.0,1.0,3.0,20.0,2.0,1.0,2.0
5.0,5.0,2.0,1,1.0,,14.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6431696056225867,-0.6263417077795361,-0.3445430183927198,-0.9408086556749125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,,0.6970073364598678,3.0,,,,2.0,2.0,2.0,0.0,0.0,,0.8608435163330139,,0.0,1.0,3.0,2.0,0.0,0.0,0.0
4.0,5.0,6.0,0,1.0,-0.6588722940964432,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.5248244604181258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,-0.0441736906516239,3.0,5.0,0.2857142857142857,1.0,1.0,1.0,,0.0,1.0,0.0,0.3493017411996625,0.4671494253270514,0.0,1.0,3.0,5.0,6.0,0.0,0.0
5.0,5.0,6.0,0,0.0,-0.6588722940964432,13.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1348518750157323,0.0510854659224902,-0.633526678296209,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.5374767244956339,2.25,4.75,0.2857142857142857,1.0,1.0,3.0,1.0,0.0,0.0,,0.1414401137518304,0.6166831493553058,0.0,1.0,2.0,5.0,7.0,0.0,0.0
